eop_scientificname_verbatim,scientificname_verbatim,type_locality,habitat,notes
Stenoplax fallax,Stenoplax fallax,,,
Stenoplax heathiana,Stenoplax heathiana,,,
Stenula spp.,Stenula,,,
Stephanauge annularis,Stephanauge annularis,,,Oregon & S
Stephanosella vitrea,Buffonellaria vitrea,,,
Stephensoniella trevori,Stephensoniella trevori,,,
Sternaspis scutata,Sternaspis scutata,,,
Sthenelais berkeleyi,Sthenelais berkeleyi,,,
Sthenelais tertiaglabra,Sthenelais tertiaglabra,,,
Stibarobdella loricata,Stibarobdella loricata,,,
Stiliger fuscovittatus,Stiliger fuscovittatus,,,
Stilipes sp.,Stilipes,,deep fjords,
Stilomysis grandis,Stilomysis grandis,,,
Stomachetosella cruenta,Stomachetosella cruenta,,,
Stomachetosella limbata,Stomachetosella limbata,,,
Stomachetosella sinuosa,Stomachetosella sinuosa,,,
Stomatopora granulata,Stomatopora granulata,,,
Stomotoca atra,Stomotoca atra,,,
Stomphia coccinea,Stomphia coccinea,,,
Stomphia didemon,Stomphia didemon,,,
Stomphia sp.,Stomphia,,,
Streblosoma bairdi,Streblosoma bairdi,,,
Streblospio benedicti,Streblospio benedicti,,,
Streptosyllis latipalpa,Streptosyllis latipalpa,,,
Strongylocentrotus droebachiensis,Strongylocentrotus droebachiensis,,,
Strongylocentrotus franciscanus,Strongylocentrotus franciscanus,,,
Strongylocentrotus pallidus,Strongylocentrotus pallidus,,,
Strongylocentrotus purpuratus,Strongylocentrotus purpuratus,,,
Styela clavata,Styela clavata,,,
Styela coriacea,Styela coriacea,,,
Styela gibbsii,Styela gibbsii,,,
Styela montereyensis,Styela montereyensis,,,
Styela truncata,Styela truncata,,,
Stygocapitella subterranea,Stygocapitella subterranea,,,
Stylasterias forreri,Stylasterias forreri,,,
Stylatula elongata,Stylatula elongata,,,
Stylinos sp.,Stylinos,,,
Styliola subula,Styliola subula,,,
Semisuberites cribrosa,Semisuberites cribrosa,,,
Stylochoplana chloranota,Stylochoplana chloranota,,,
Stylochus atentaculatus,Stylochus atentaculatus,,,
Stylochus tripartitus,Stylochus tripartitus,,,
Stylopus arndti,Stylopus arndti,,,
Stylostomum album,Acerotisa alba,,,I assume it is this; no other alba euryleptid in WoRMS
Stylostomum sanjuania,Stylostomum sanjuania,,,
Pseudosuberites montiniger,Pseudosuberites montiniger,,,eop has modified name
Suberites suberea forma latus,Suberites suberea forma latus,,,
Suberites simplex,Suberites simplex,,,
Suberites spp.,Suberites,,,
Swiftia kofoidi,Swiftia kofoidi,,,
Swiftia simplex,Swiftia simplex,,,
Swiftia spauldingi,Swiftia spauldingi,,,
Swiftia torreyi,Swiftia torreyi,,,
Sycandra utriculus,Sycandra utriculus,,,
Syllides japonica,Syllides japonica,,,
Syllides longocirrata,Syllides longocirrata,,,
Typosyllis adamantea subsp. adamantea,Typosyllis adamantea adamantea,,,
Syllis alternata,Syllis alternata,,,
Syllis armillaris,Syllis armillaris,,,
Syllis elongata,Syllis elongata,,,probably Typosyllis e
Syllis fasciata,Syllis fasciata,,,
Syllis gracilis,Syllis gracilis,,,
Syllis heterochaeta,Syllis heterochaeta,,,
Syllis hyalina,Syllis hyalina,,,
Typosyllis pulchra,Typosyllis pulchra,,,
Haplosyllis spongiphila,Haplosyllis spongiphila,,,
Typosillis stewarti,Typosillis stewarti,,,
Syllis variegata,Syllis variegata,,,
Syllis sp.,Syllis,,,
Sylon hippolytes,Sylon hippolytes,,,
Symplectoscyphus spp.,Symplectoscyphus,,,
Synallactes gilberti,Synallactes gilberti,,deep,
Synchaeta baltica,Synchaeta baltica,,,
Synchaeta johanseni,Synchaeta johanseni,,,
Synchelidium,Synchelidium,,,
Synchelidium rectipalmum,Americhelidium rectipalmum,,,
Synchelidium shoemakeri,Synchelidium shoemakeri,,,
Syndesmis dendrastrorum,Syndesmis dendrastrorum,,,
Syndesmis spp.,Syndesmis,,,
Syndisyrinx franciscanus,Syndisyrinx franciscanus,,,
Synidotea angulata,Synidotea angulata,,,
Synidotea bicuspida,Synidotea bicuspida,,,
Synidotea nebulosa,Synidotea nebulosa,,,
Synidotea nodulosa,Synidotea nodulosa,,,
Synidotea pettiboneae,Synidotea pettiboneae,,,
Synidotea ritteri,Synidotea ritteri,,,
Synnotum aegyptiacum,Synnotum aegyptiacum,,,
Synoicum parfustis,Synoicum parfustis,,,
Synoicum spp.,Synoicum,,,
Plicatellopsis amphispicula,Homaxinella amphispicula,,,was Plicatellopsis amphispicula in online database
Syrrhoe longifrons,Syrrhoe longifrons,,,
Systellaspis braueri,Systellaspis braueri,,,
Systellaspis cristata,Systellaspis cristata,,,
Tachyrhynchus erosus,Tachyrhynchus erosus,,,
Tachyrhynchus lacteolus,Tachyrhynchus lacteolus,,,
Tanystylum anthomasti,Tanystylum anthomasti,,,
Tanystylum occidentalis,Tanystylum occidentalis,,,
Tanystylum sp.,Tanystylum,,,
Taonius pavo,Taonius pavo,,,
Venerupis philippinarum,Venerupis philippinarum,,,
Taranis strongi,Pseudotaranis strongi,,,
Tarsaster alaskanus,Tarsaster alaskanus,,deep,
Levinsenia gracilis,Levinsenia gracilis,,,
Tecticeps pugettensis,Tecticeps pugettensis,,,
Tectidrilus diversus,Tectidrilus diversus,,,
Tectidrilus verrucosus,Tectidrilus verrucosus,,,
Tectura fenestrata,Tectura fenestrata,,,
Tectura paleacea,Tectura paleacea,,,
Tectura persona,Tectura persona,,,
Tectura rosacea,Tectura rosacea,,,
Tectura scutum,Tectura scutum,,,
Tedania fragilis,Tedania fragilis,,,
Tedania gurjanovae,Tedania gurjanovae,,,
Tedania obscurata,Tedania obscurata,,,
Tegella aquilirostris,Tegella aquilirostris,,,
Tegella armifera,Tegella armifera,,,
Tegella robertsonae,Tegella robertsonae,,,
Tegula brunnea,Tegula brunnea,,,
Tegula funebralis,Tegula funebralis,,,
Tegula pulligo,Tegula pulligo,,,
Tellina bodegensis,Tellina bodegensis,,,
Tellina carpenteri,Tellina carpenteri,,,
Tellina modesta,Tellina modesta,,,
Tellina nuculoides,Tellina nuculoides,,,
Telmessus cheiragonus,Telmessus cheiragonus,,,
Tenonia priops,Tenonia priops,,,
Tenthrenodes sp.,Tenthrenodes,,,
Terebella ehrenbergi,Terebella ehrenbergi,,,
Terebellides pacifica,Terebellides pacifica,,,
Terebratalia transversa,Terebratalia transversa,,,
Terebratulina unguicula,Terebratulina unguicula,,,
Teredo navalis,Teredo navalis,,,
Tethya aurantia,Tethya aurantia,,,
Tetranchyroderma pugetensis,Tetranchyroderma pugetensis,,,
Tetrastemma bicolor,Tetrastemma bicolor,,,
Tetrastemma bilineatum,Tetrastemma bilineatum,,,
Tetrastemma candidum,Tetrastemma candidum,,,
Tetrastemma nigrifrons,Tetrastemma nigrifrons,,,
Antarctonemertes phyllospadicola,Antarctonemertes phyllospadicola,,,
Tetrastemma spp.,Tetrastemma,,,
Thalassema steinbecki,Thalassema steinbecki,,,
Thalestris rhodymeniae,Thalestris rhodymeniae,,,
Clathria laevigata,Clathria laevigata,,,eop has modified name
Tharyx multifilis,Tharyx multifilis,,,
Tharyx parvus,Tharyx parvus,,,
Tharyx secundus,Tharyx secundus,,,
Aphelochaeta serratiseta,Aphelochaeta serratiseta,,,
Manania hexaradiata,Manania hexaradiata,,,
Thecocarpus spp.,Thecocarpus,,,
Thelepus cincinnatus,Thelepus cincinnatus,,,
Thelepus crispus ,Thelepus crispus ,,,
Thelepus hamatus,Thelepus hamatus,,,
Thelepus japonicus,Thelepus japonicus,,,
Thelepus setosus,Thelepus setosus,,,
Themiste dyscrita,Themiste dyscrita,,,
Themiste pyroides,Themiste pyroides,,,
Thompsonia sp.,Thompsonia,,,
Thracia myopsis,Thracia myopsis,,,
Thracia challisiana,Thracia challisiana,,,
Thracia curta,Thracia curta,,,
Thracia trapezoides,Thracia trapezoides,,,
Thrissacanthias penicillatus,Thrissacanthias penicillatus,,deep,
Thuiaria,Thuiaria,,,
Thuiaria distans,Thuiaria distans,,,
Thuiaria articulata,Thuiaria articulata,,,
Sertularia robusta,Sertularia robusta,,,
Thuiaria tenera,Thuiaria tenera,,,
Thuiaria thuja,Thuiaria thuja,,,
Thuiaria spp.,Thuiaria,,,
Thyasira barbarensis,Thyasira barbarensis,,,
Thyasira cygnus,Thyasira cygnus,,,
Thyasira gouldii,Thyasira gouldii,,,
Thyonicola americana,Thyonicola americana,,,
Thyonicola dogieli,Thyonicola dogieli,,,
Thysanoessa raschii,Thysanoessa raschii,,,
Tiaropsidium,Tiaropsidium,,,
Tiaropsidium kelseyi,Tiaropsidium kelseyi,,,
Tiaropsis ,Tiaropsis ,,,
Tiaropsis multicirrata,Tiaropsis multicirrata,,,
Tindaria compressa,Tindaria compressa,,deep,
Tindaria dicofania,Tindaria dicofania,,deep,
Tiron biocellata,Tiron biocellata,,,
Tochuina tetraquetra,Tochuina tetraquetra,,,
Todarodes pacificus,Todarodes pacificus,,,
Tomopteris pacifica,Tomopteris pacifica,,,
Tomopteris septentrionalis,Tomopteris septentrionalis,,,
Tonicella insignis,Tonicella insignis,,,
Tonicella lineata,Tonicella lineata,,,
Tontocythere sp.,Tontocythere,,,"check Koz, no matches"
Topsentia disparilis,Topsentia disparilis,,,
Toxidocia spp.,Toxadocia,,,
Trachelobdella oregonensis,Trachelobdella oregonensis,,,
Nutricola confusa,Nutricola confusa,,,
Transennella tantilla,Transennella tantilla,,,
Traskorchestia,Traskorchestia,,,
Traskorchestia georgiana,Traskorchestia georgiana,,,
Traskorchestia traskiana,Traskorchestia traskiana,,,
Travisia brevis,Travisia brevis,,,
Travisia forbesii,Travisia forbesii,,,
Travisia japonica,Travisia japonica,,,
Travisia pupa,Travisia pupa,,,
Travisiopsis lobifera,Travisiopsis lobifera,,,
Tresus,Tresus,,,
Tresus capax,Tresus capax,,,
Tresus nuttallii,Tresus nuttallii,,,
Tricellaria erecta,Tricellaria erecta,,,
Tricellaria occidentalis,Tricellaria occidentalis,,,
Tricellaria praescuta,Tricellaria praescuta,,,
Tricellaria ternata,Tricellaria ternata,,,
Trichobranchus glacialis,Trichobranchus glacialis,,,
Trichocerca marina,Trichocerca marina,,,
Trichotropis bicarinata,Trichotropis bicarinata,,,
Trichotropis borealis,Trichotropis borealis,,,
Trichotropis cancellata,Trichotropis cancellata,,,
Trichotropis insignis,Trichotropis insignis,,,
Trichydra pudica,Trichydra pudica,,,
Tricolia pulloides,Tricolia pulloides,,,
Trididemnum opacum,Trididemnum opacum,,,
Trididemnum strangulatum,Trididemnum strangulatum,,,
Astarte elliptica,Astarte elliptica,,,
Trilobodrilus nipponicus,Trilobodrilus nipponicus,,,
Triopha catalinae,Triopha catalinae,,,
Tritella laevis,Tritella laevis,,,
Tritella pilimana,Tritella pilimana,,,
Triticella pedicellata,Triticella pedicellata,,,
Tritonia diomedea,Tritonia diomedea,,,
Tritonia exsulans,Tritonia exsulans,,,
Tritonia festiva,Tritonia festiva,,,
Trochochaeta multisetosa,Trochochaeta multisetosa,,,
Trophonopsis clathratus,Trophonopsis clathratus,,,
Trophonopsis dalli,Nodulotrophon coronatus,,,syn from WoRMS; deep or cold
Trophonopsis disparilis,Boreotrophon disparilis,,,deep or N
Trophonopsis kamtchatkanus,Trophonopsis kamtchatkanus,,,deep or N
Trophonopsis lasius,Trophonopsis lasius,,,
Trophonopsis macouni,Boreotrophon macouni,,,deep or N
Trophonopsis pacificus,Boreotrophon pacificus,,,
Trophonopsis scitulus,Nipponotrophon scitulus,,,deep or N
Trophonopsis staphylinus,Boreotrophon bentleyi,,,syn from WoRMS; deep or N
Trophonopsis tripherus,Trophonopsis tripherus,,,deep or N
Trypanosyllis gemmipara,Trypanosyllis gemmipara,,,
Trypanosyllis ingens,Trypanosyllis ingens,,,
Trypetesa lateralis,Trypetesa lateralis,,,
Trypostega claviculata,Trypostega claviculata,,,
Tubificoides apectinatus,Tubificoides apectinatus,,,
Tubificoides brevicoleus,Tubificoides brevicoleus,,,
Tubificoides coatesae,Tubificoides coatesae,,,
Tubificoides foliatus,Tubificoides foliatus,,,
Tubificoides kozloffi,Tubificoides kozloffi,,,
Tubificoides nerthoides,Tubificoides nerthoides,,,
Tubificoides pseudogaster,Tubificoides pseudogaster,,,
Tubonemertes wheeleri,Tubonemertes wheeleri,,,
Tubulanus albocinctus,Tubulanus albocinctus,,,
Tubulanus capistratus,Tubulanus capistratus,,,
Tubulanus pellucidus,Tubulanus pellucidus,,,
Tubulanus polymorphus,Tubulanus polymorphus,,,
Tubulanus sexlineatus,Tubulanus sexlineatus,,,
Ectopleura crocea,Ectopleura crocea,,,
Tubularia harrimani,Tubularia harrimani,,,
Tubularia indivisa,Tubularia indivisa,,,
Ectopleura marina,Ectopleura marina,,,
Tubulipora flabellaris,Tubulipora flabellaris,,,
Tubulipora pacifica,Tubulipora pacifica,,,
Tubulipora tuba,Tubulipora tuba,,,
Turbanella cornuta,Turbanella cornuta,,,
Turbanella mustela,Turbanella mustela,,,
Turbanella sp.,Turbanella,,,
Turbonilla ,Turbonilla ,,,
Turbonilla alaskana,Turbonilla alaskana,,,
Turbonilla aurantia,Turbonilla aurantia,,,
Turbonilla barkleyensis,Turbonilla barkleyensis,,,
Turbonilla engbergi,Turbonilla engbergi,,,
Turbonilla lordi,Turbonilla lordi,,,
Turbonilla lyalli,Turbonilla lyalli,,,
Turbonilla pesa,Turbonilla pesa,,,
Turbonilla pugetensis,Turbonilla pugetensis,,,
Turbonilla rinella,Turbonilla rinella,,,
Turbonilla stylina,Turbonilla stylina,,,
Turbonilla taylori,Turbonilla taylori,,,
Turbonilla torquata,Turbonilla torquata,,,
Turritellopsis acicula,Turritellopsis acicula,,,
Turtonia minuta,Turtonia minuta,,,
Typhloscolex muelleri,Typhloscolex muelleri,,,
Umbellula lindahli,Umbellula lindahli,,,
Arctonula arctica,Arctonula arctica,,,
Upogebia pugettensis,Upogebia pugettensis,,,
Cystechinus loveni ,Cystechinus loveni ,,deep,eop with different genus
Urechis caupo,Urechis caupo,,,
Urosalpinx cinerea,Urosalpinx cinerea,,,
Urothoe spp.,Urothoe,,,
Urticina columbiana,Urticina columbiana,,,
Tealia coriacea,Tealia coriacea,,,
Urticina crassicornis,Urticina crassicornis,,,
Tealia lofotensis,Tealia lofotensis,,,
Urticina piscivora,Urticina piscivora,,,
Urticina sp.,Urticina,,,
Ainudrilus oceanicus aprostatus,Ainudrilus oceanicus aprostatus,,,
Planctoteuthis oligobessa,Planctoteuthis oligobessa,,,eop different genus
Vampyroteuthis infernalis,Vampyroteuthis infernalis,,,
Vanadis longissima,Vanadis longissima,,,
Vannuccia rotundouncinata,Vannuccia rotundouncinata,,,
Vannuccia tripapillosa americana,Vannuccia tripapillosa americana,,,
Vargula sp.,Vargula,,,
Vaunthompsonia ,Vaunthompsonia ,,,
Vaunthompsonia pacifica,Vaunthompsonia pacifica,,,
Vejdovskyella hellei,Specaria hellei,,,in ITIS not in WoRMS
Velella velella,Velella velella,,,
Velutina plicatilis,Velutina plicatilis,,,
Velutina prolongata,Velutina prolongata,,,
Vesicomya lepta,Wareniconcha lepta,,deep,
Vesicomya ovalis,Pliocardia ovalis,,deep,
Vesicomya stearnsii,Pliocardia stearnsii,,deep,
Virgularia spp.,Virgularia,,,
Vitrinella columbiana,Vitrinella columbiana,,,
Volutharpa ampullacea,Volutharpa ampullacea,,,
Volutomitra alaskana,Volutomitra alaskana,,,
Volvulella cylindrica,Volvulella cylindrica,,,
Wahlia pulchella,Wahlia pulchella,,,
Weberella verrucosa,Weberella verrucosa,,,
Wecomedon similis,Wecomedon similis,,,
Wecomedon wecomus,Wecomedon wecomus,,,
Westwoodilla caecula,Westwoodilla caecula,,,
Xenacanthomysis pseudomacropsis,Xenacanthomysis pseudomacropsis,,,
Xenobalanus globicipitis,Xenobalanus globicipitis,,,
Xestoleberis depressa,Xestoleberis depressa,,,
Xestoleberis dispar,Xestoleberis dispar,,,
Amphimedon trindanea,Amphimedon trindanea,,,
Neopetrosia vanilla,Neopetrosia vanilla,,,
Xylophaga washingtona,Xylophaga washingtona,,,
Yaquinaia microrhynchus,Yaquinaia microrhynchus,,,
Yoldia amygdalea,Yoldia amygdalea,,,
Yoldia beringiana,Yoldia beringiana,,deep,
Yoldia martyria,Yoldia martyria,,shallow,
Megayoldia montereyensis,Megayoldia montereyensis,,deep,eop different genus
Yoldia myalis,Yoldia myalis,,,
Yoldia scissurata,Yoldia scissurata,,,
Yoldia thraciaeformis,Yoldia thraciaeformis,,,
Yoldiella capsa,Yoldiella capsa,,deep,
Yoldiella dicella,Yoldiella dicella,,deep,
Yoldiella orcia,Yoldiella orcia,,deep,
Yoldiella sanesia,Yoldiella orcia,,deep,syn from WoRMS
Zeuxo normani,Zeuxo normani,,,
Zirfaea pilsbryii,Zirfaea pilsbryii,,,
Sagenaster evermanni,Sagenaster evermanni,,deep,
Zoroaster ophiurus,Zoroaster ophiurus,,deep,
Hamacantha hyaloderma,Hamacantha hyaloderma,,,
Zygonemertes virescens,Zygonemertes virescens,,,
Zygonemertes sp.,Zygonemertes,,,
Zygophylax spp.,Zygophylax,,,
Zygothuria lactea,Zygothuria lactea,,deep,
,Conchocele excavata,,deep,not in  eop
,Cranchia scabra,,,not in eop
,Nucula chrysocoma,,deep,not in eop
,not real?,,,"in Koz, problematic"
,Tindaria panemensis,,deep,not in eop
,Delectopecten vancouverensis,,deep,
,Ericthonius rubricornis,,,"in Koz, but not online list?"
,Pandalus eous,,,"in Koz, but not online list?"
